name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
TRYPHOSA,NA,TRYPHOSA,NC,MACON,NA,NA,Macon,1915,1932,TRUE,2,118255,TRUE,17,TRUE,TRYPHOSA,MACON,NC,1021675,Populated Place,Tryphosa,Macon,35.01676,-83.38099,636,1,35.01676,-83.38099,1871-1920,1921-2000
PORT LUDLOW,NA,PORT LUDLOW,WA,JEFFERSON,NA,NA,Jefferson,1857,1965,TRUE,1,154402,TRUE,108,TRUE,PORT LUDLOW,JEFFERSON,WA,1534454,Post Office,Port Ludlow Post Office,Jefferson,47.92038,-122.7021,28,1,47.92038,-122.7021,1821-1870,1921-2000
ROBINSON,NA,ROBINSON,OR,LANE,NA,NA,Lane,1883,1884,TRUE,8,156259,TRUE,1,TRUE,ROBINSON,LANE,OR,1164637,Post Office,Robinson Post Office (historical),Lane,43.29928,-123.2373,258,1,43.29928,-123.2373,1871-1920,1871-1920
PERRY,NA,PERRY,OH,LAKE,NA,NA,Lake,1819,NA,TRUE,0,105882,TRUE,NA,TRUE,PERRY,LAKE,OH,2025621,Post Office,Perry Post Office,Lake,41.76969,-81.14721,213,1,41.76969,-81.14721,1770-1820,for business
SAINT PETERSBURG,SAINT PETERSBURGH,SAINT PETERSBURG(H),PA,CLARION,NA,NA,Clarion,1863,NA,TRUE,0,50596,TRUE,NA,TRUE,SAINT PETERSBURG,CLARION,PA,2780001,Post Office,Saint Petersburg Post Office,Clarion,41.161941,-79.6527296,422,1,41.161941,-79.6527296,1821-1870,for business
ZENITH,NA,ZENITH,PA,LUZERNE,NA,NA,Luzerne,1894,1927,TRUE,3,64196,TRUE,33,TRUE,ZENITH,LUZERNE,PA,1205011,Populated Place,Zenith,Luzerne,41.0306404,-76.1888216,172,1,41.0306404,-76.1888216,1871-1920,1921-2000
JACKSONVILLE,NA,JACKSONVILLE,WV,LEWIS,NA,NA,Lewis,1858,1913,TRUE,4,91200,TRUE,55,TRUE,JACKSONVILLE,LEWIS,WV,1554792,Populated Place,Jacksonville,Lewis,38.89093,-80.49203,329,1,38.89093,-80.49203,1821-1870,1871-1920
KILLINGLY CENTRE,NA,KILLINGLY CENTRE,CT,WINDHAM,NA,NA,Windham,1818,1842,TRUE,8,30422,TRUE,24,TRUE,KILLINGLY CENTRE,WINDHAM,CT,1924352,Post Office,Killingly Centre Post Office,Windham,41.8329077,-71.8767005,76,1,41.8329077,-71.8767005,1770-1820,1821-1870
SARDINIA,NA,SARDINIA,NY,ERIE,NA,NA,Erie,1821,NA,TRUE,0,51125,TRUE,NA,TRUE,SARDINIA,ERIE,NY,2713483,Post Office,Sardinia Post Office,Erie,42.5434026,-78.508687,427,1,42.5434026,-78.508687,1821-1870,for business
BLACKFORK,NA,BLACKFORK,OH,LAWRENCE,NA,NA,Lawrence,1902,1985,TRUE,1,69196,TRUE,83,TRUE,BLACKFORK,LAWRENCE,OH,2025725,Post Office,Blackfork Post Office,Lawrence,38.8375765,-82.5998845,232,1,38.8375765,-82.5998845,1871-1920,1921-2000
