name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude
ELLISVILLE,NA,ELLISVILLE,MO,ST. LOUIS,NA,NA,St. Louis,1843,1963,FALSE,1,18140,TRUE,120,TRUE,ELLISVILLE,ST. LOUIS,MO,756018,Populated Place,Ellisville,St. Louis,38.5925532,-90.5870686,223,1,38.5925532,-90.5870686
TRACADIA,NA,TRACADIA,NC,YADKIN,NA,NA,Yadkin,1890,1906,TRUE,6,117894,TRUE,16,TRUE,TRACADIA,YADKIN,NC,1955471,Post Office,Tracadia Post Office (historical),Yadkin,36.14792,-80.52978,275,1,36.14792,-80.52978
TRITON,NA,TRITON,WA,JEFFERSON,NA,NA,Jefferson,1908,1914,TRUE,5,162258,FALSE,6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEAD,NA,NEAD,IN,MIAMI,NA,NA,Miami,1894,1901,TRUE,5,101517,TRUE,7,TRUE,NEAD,MIAMI,IN,439955,Populated Place,Nead,Miami,40.70726,-86.12749,234,1,40.70726,-86.12749
GARLAND,NA,GARLAND,SD,UNION,NA,NA,Union,1889,1902,TRUE,6,138332,TRUE,13,TRUE,GARLAND,UNION,SD,1255210,School,Garland School,Union,42.88666,-96.66587,412,1,42.88666,-96.66587
SWAINSVILLE,NA,SWAINSVILLE,NY,ALLEGANY,NA,NA,Allegany,1853,1862,TRUE,5,56229,TRUE,9,TRUE,SWAINSVILLE,ALLEGANY,NY,966938,Populated Place,Swainsville,Allegany,42.4778443,-77.8533322,402,1,42.4778443,-77.8533322
HERMITAGE,NA,HERMITAGE,CO,DOLORES,NA,NA,Dolores,1904,1907,TRUE,6,141225,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMBS,NA,IMBS,IL,ST. CLAIR,NA,NA,Saint Clair,1896,1905,TRUE,5,90536,TRUE,9,TRUE,IMBS,ST. CLAIR,IL,426381,Populated Place,Imbs,St. Clair,38.52366,-90.13539,137,1,38.52366,-90.13539
BRADFORD,NA,BRADFORD,IA,CHICKASAW,NA,NA,Chickasaw,1852,1899,TRUE,5,70283,TRUE,47,TRUE,BRADFORD,CHICKASAW,IA,1948577,Post Office,Bradford Post Office (historical),Chickasaw,42.9655317,-92.5057389,298,1,42.9655317,-92.5057389
LORENTZ STORE,NA,LORENTZ STORE,WV,UPSHUR,NA,NA,Upshur,1824,1875,TRUE,4,95962,TRUE,51,TRUE,LORENTZS STORE,UPSHUR,WV,1696728,Post Office,Lorentzs Store Post Office,Upshur,39.01075,-80.3016,441,0.9230769,39.01075,-80.3016
NULLS,NA,NULLS,NC,LINCOLN,NA,NA,Lincoln,1828,1830,TRUE,9,103195,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARWOOD,NA,HARWOOD,OH,HIGHLAND,NA,NA,Highland,1877,1881,TRUE,6,87851,TRUE,4,TRUE,HARWOOD,HIGHLAND,OH,2009688,Post Office,Harwood Post Office (historical),Highland,39.12368,-83.84576,296,1,39.12368,-83.84576
BETHEL,NA,BETHEL,ND,MORTON,NA,NA,Morton,1909,1913,TRUE,4,127078,FALSE,4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLASCOCK,NA,GLASCOCK,GA,MERIWETHER,NA,NA,Meriwether,1838,1841,TRUE,8,22579,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
